source_key,cds_label_guess,track_type,member_index,point_count,min_fhr,max_fhr,fhr_interval_counts,first_time_utc,last_time_utc,first_lat,first_lon,last_lat,last_lon,first_mslp_hpa,last_mslp_hpa,first_vmax_kt_inferred,last_vmax_kt_inferred,members_first,members_last,use_tags,has_interp,has_cone_or_spread,fields
deepmind_11,DeepMind,member,11,38,0,222,6h:37,2026080400,2026081306,25.1,143.2,36.3,117.5,947,999,99,18,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_12,DeepMind,member,12,44,0,258,6h:43,2026080400,2026081418,25.1,143.2,40.93,119.37,947,1002,99,21,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_13,DeepMind,member,13,37,0,216,6h:36,2026080400,2026081300,25.1,143.2,42.2,123.6,947,994,99,23,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_14,DeepMind,member,14,41,0,240,6h:40,2026080400,2026081400,25.1,143.2,36.5,127.4,947,1000,99,20,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_15,DeepMind,member,15,33,0,192,6h:32,2026080400,2026081200,25.1,143.2,28.5,113.5,947,999,99,16,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_16,DeepMind,member,16,33,0,192,6h:32,2026080400,2026081200,25.1,143.2,27.5,110.5,947,996,99,26,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_17,DeepMind,member,17,43,0,252,6h:42,2026080400,2026081412,25.1,143.2,44.98,138.71,947,996,99,16,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_18,DeepMind,member,18,41,0,240,6h:40,2026080400,2026081400,25.1,143.2,37.8,125.7,947,976,99,41,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_19,DeepMind,member,19,40,0,234,6h:39,2026080400,2026081318,25.1,143.2,35.8,119.2,947,998,99,18,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_20,DeepMind,member,20,32,0,186,6h:31,2026080400,2026081118,25.1,143.2,32.0,110.6,947,993,99,21,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_21,DeepMind,member,21,44,0,258,6h:43,2026080400,2026081418,25.1,143.2,33.82,115.06,947,1007,99,14,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_22,DeepMind,member,22,43,0,252,6h:42,2026080400,2026081412,25.1,143.2,42.47,123.59,947,999,99,16,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_23,DeepMind,member,23,35,0,204,6h:34,2026080400,2026081212,25.1,143.2,34.9,118.3,947,991,99,21,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_24,DeepMind,member,24,37,0,216,6h:36,2026080400,2026081300,25.1,143.2,38.3,118.5,947,991,99,28,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_25,DeepMind,member,25,46,0,270,6h:45,2026080400,2026081506,25.1,143.2,39.42,118.89,947,1002,99,22,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_26,DeepMind,member,26,31,0,180,6h:30,2026080400,2026081112,25.1,143.2,29.4,117.9,947,1000,99,21,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_27,DeepMind,member,27,37,0,216,6h:36,2026080400,2026081300,25.1,143.2,42.3,119.9,947,997,99,24,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_28,DeepMind,member,28,35,0,204,6h:34,2026080400,2026081212,25.1,143.2,38.2,118.3,947,982,99,37,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_29,DeepMind,member,29,36,0,210,6h:35,2026080400,2026081218,25.1,143.2,43.7,123.9,947,996,99,22,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_30,DeepMind,member,30,39,0,228,6h:38,2026080400,2026081312,25.1,143.2,26.3,117.3,947,996,99,21,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_31,DeepMind,member,31,47,0,276,6h:46,2026080400,2026081512,25.1,143.2,36.26,116.09,947,1004,99,15,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_32,DeepMind,member,32,43,0,252,6h:42,2026080400,2026081412,25.1,143.2,39.1,117.4,947,1000,99,18,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_33,DeepMind,member,33,35,0,204,6h:34,2026080400,2026081212,25.1,143.2,43.1,120.9,947,994,99,23,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_34,DeepMind,member,34,46,0,270,6h:45,2026080400,2026081506,25.1,143.2,42.4,123.09,947,1003,99,14,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_35,DeepMind,member,35,39,0,228,6h:38,2026080400,2026081312,25.1,143.2,38.0,122.5,947,992,99,27,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_36,DeepMind,member,36,36,0,210,6h:35,2026080400,2026081218,25.1,143.2,42.8,122.6,947,994,99,31,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_37,DeepMind,member,37,49,0,288,6h:48,2026080400,2026081600,25.1,143.2,39.88,131.37,947,998,99,21,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_38,DeepMind,member,38,32,0,186,6h:31,2026080400,2026081118,25.1,143.2,31.7,118.0,947,966,99,43,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_39,DeepMind,member,39,46,0,270,6h:45,2026080400,2026081506,25.1,143.2,37.35,127.45,947,1002,99,11,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_40,DeepMind,member,40,41,0,240,6h:40,2026080400,2026081400,25.1,143.2,39.9,116.8,947,988,99,29,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_41,DeepMind,member,41,35,0,204,6h:34,2026080400,2026081212,25.1,143.2,29.5,117.5,947,991,99,23,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_42,DeepMind,member,42,38,0,222,6h:37,2026080400,2026081306,25.1,143.2,39.3,124.5,947,990,99,32,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_43,DeepMind,member,43,44,0,258,6h:43,2026080400,2026081418,25.1,143.2,39.77,119.95,947,993,99,31,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_44,DeepMind,member,44,29,0,168,6h:28,2026080400,2026081100,25.1,143.2,30.3,112.8,947,992,99,29,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_45,DeepMind,member,45,38,0,222,6h:37,2026080400,2026081306,25.1,143.2,44.5,119.6,947,990,99,26,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_46,DeepMind,member,46,46,0,270,6h:45,2026080400,2026081506,25.1,143.2,42.68,120.72,947,999,99,25,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_47,DeepMind,member,47,42,0,246,6h:41,2026080400,2026081406,25.1,143.2,38.62,119.9,947,998,99,23,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_48,DeepMind,member,48,33,0,192,6h:32,2026080400,2026081200,25.1,143.2,36.3,116.9,947,993,99,22,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_49,DeepMind,member,49,40,0,234,6h:39,2026080400,2026081318,25.1,143.2,38.5,125.6,947,985,99,38,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_0,ECMWF AIFS EPS,member,0,41,0,240,6h:40,2026080400,2026081400,25.0,143.0,37.25,124.5,955,1000,86,24,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_1,ECMWF AIFS EPS,member,1,27,0,156,6h:26,2026080400,2026081012,25.0,143.0,32.25,116.0,958,995,86,19,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_2,ECMWF AIFS EPS,member,2,41,0,240,6h:40,2026080400,2026081400,24.75,142.75,32.75,125.5,936,987,100,30,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_3,ECMWF AIFS EPS,member,3,30,0,174,6h:29,2026080400,2026081106,25.25,143.25,30.5,119.25,966,994,71,17,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_4,ECMWF AIFS EPS,member,4,35,0,204,6h:34,2026080400,2026081212,25.25,143.0,40.75,124.0,960,996,88,28,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_5,ECMWF AIFS EPS,member,5,23,0,132,6h:22,2026080400,2026080912,25.25,143.0,28.25,113.75,956,994,75,17,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_6,ECMWF AIFS EPS,member,6,24,0,138,6h:23,2026080400,2026080918,25.0,142.75,26.75,119.75,964,982,81,31,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_7,ECMWF AIFS EPS,member,7,37,0,216,6h:36,2026080400,2026081300,25.25,143.0,40.75,129.25,962,988,74,27,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_8,ECMWF AIFS EPS,member,8,25,0,144,6h:24,2026080400,2026081000,25.25,143.0,29.25,119.25,960,988,84,24,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_9,ECMWF AIFS EPS,member,9,37,0,216,6h:36,2026080400,2026081300,25.0,143.25,40.0,124.5,960,996,56,22,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_10,ECMWF AIFS EPS,member,10,36,0,210,6h:35,2026080400,2026081218,25.0,142.75,39.75,127.5,967,987,72,22,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_11,ECMWF AIFS EPS,member,11,32,0,186,6h:31,2026080400,2026081118,24.75,142.5,35.5,122.75,965,985,60,34,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_12,ECMWF AIFS EPS,member,12,34,0,198,6h:33,2026080400,2026081206,25.25,143.0,34.5,117.5,964,999,75,12,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_13,ECMWF AIFS EPS,member,13,41,0,240,6h:40,2026080400,2026081400,25.0,143.0,39.75,119.5,961,1000,64,22,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_14,ECMWF AIFS EPS,member,14,29,0,168,6h:28,2026080400,2026081100,25.0,143.0,36.75,116.5,965,999,81,21,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_15,ECMWF AIFS EPS,member,15,30,0,174,6h:29,2026080400,2026081106,25.0,143.0,29.5,120.0,959,991,82,25,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_16,ECMWF AIFS EPS,member,16,28,0,162,6h:27,2026080400,2026081018,25.0,143.0,28.25,117.0,966,992,56,11,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_17,ECMWF AIFS EPS,member,17,29,0,168,6h:28,2026080400,2026081100,25.0,142.75,29.5,112.25,963,999,78,,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_18,ECMWF AIFS EPS,member,18,41,0,240,6h:40,2026080400,2026081400,25.25,143.0,41.75,135.0,968,996,60,32,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_19,ECMWF AIFS EPS,member,19,29,0,168,6h:28,2026080400,2026081100,25.5,142.8,29.8,121.2,947,1003,85,18,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_20,ECMWF AIFS EPS,member,20,21,0,120,6h:20,2026080400,2026080900,25.25,143.0,26.5,119.0,962,984,84,23,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_21,ECMWF AIFS EPS,member,21,35,0,204,6h:34,2026080400,2026081212,25.0,142.75,41.75,127.25,960,987,79,24,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_22,ECMWF AIFS EPS,member,22,37,0,216,6h:36,2026080400,2026081300,25.25,143.0,43.25,120.5,952,999,71,17,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_23,ECMWF AIFS EPS,member,23,26,0,150,6h:25,2026080400,2026081006,25.25,143.0,28.75,117.5,958,988,77,26,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_24,ECMWF AIFS EPS,member,24,30,0,174,6h:29,2026080400,2026081106,25.25,142.5,31.75,113.75,963,997,66,,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_25,ECMWF AIFS EPS,member,25,34,0,198,6h:33,2026080400,2026081206,25.0,143.25,32.5,116.75,957,994,84,12,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_26,ECMWF AIFS EPS,member,26,26,0,150,6h:25,2026080400,2026081006,24.75,142.75,29.0,117.25,965,992,74,16,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_27,ECMWF AIFS EPS,member,27,27,0,156,6h:26,2026080400,2026081012,25.25,143.0,29.0,116.25,963,991,63,18,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_28,ECMWF AIFS EPS,member,28,37,0,216,6h:36,2026080400,2026081300,25.25,143.0,40.25,126.25,968,992,63,22,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_29,ECMWF AIFS EPS,member,29,35,0,204,6h:34,2026080400,2026081212,25.25,142.75,29.25,116.25,965,994,55,15,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_30,ECMWF AIFS EPS,member,30,31,0,180,6h:30,2026080400,2026081112,25.25,143.0,34.75,116.75,962,996,69,15,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_31,ECMWF AIFS EPS,member,31,41,0,240,6h:40,2026080400,2026081400,25.0,143.0,29.0,127.5,971,980,59,35,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_32,ECMWF AIFS EPS,member,32,36,0,210,6h:35,2026080400,2026081218,25.25,143.0,41.5,130.0,942,987,88,40,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_33,ECMWF AIFS EPS,member,33,35,0,204,6h:34,2026080400,2026081212,25.0,142.75,29.5,113.25,950,999,99,13,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_34,ECMWF AIFS EPS,member,34,40,0,234,6h:39,2026080400,2026081318,25.0,143.0,43.75,132.0,967,992,55,25,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
aifs_35,ECMWF AIFS EPS,member,35,32,0,186,6h:31,2026080400,2026081118,25.25,143.25,39.75,125.5,965,995,58,26,,,track_det|mslp,False,False,fhr|lat|lon|mslp|vmax|time|use
